City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Hithadhoo,MV,82.04,overcast clouds,-0.6,73.0833,Scoop Guest House
3,Bowen,AU,76.48,few clouds,-20.0167,148.2333,Castle Motor Lodge Motel
5,Puerto Ayora,EC,75.16,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
8,Castro,BR,75.85,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
15,Puerto Escondido,MX,84.87,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
17,Maragogi,BR,82.47,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
21,Butaritari,KI,79.54,broken clouds,3.0707,172.7902,Isles Sunset Lodge
23,George Town,MY,76.95,scattered clouds,5.4112,100.3354,Cititel Penang
28,Cam Ranh,VN,80.56,broken clouds,11.9214,109.1591,OYO 598 Peony Hotel
30,Sabang,ID,80.78,overcast clouds,5.8933,95.3214,Hotel Citra
40,Cabo San Lucas,MX,79.61,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
43,Santa Fe,AR,83.01,light rain,-31.6333,-60.7,Conquistador Hotel
44,Alofi,NU,76.89,broken clouds,-19.0595,-169.9187,Taloa Heights
45,Alyangula,AU,83.08,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
46,Hong Kong,HK,77.38,scattered clouds,22.2855,114.1577,Mini Central
47,Atuona,PF,77.32,light rain,-9.8,-139.0333,Villa Enata
48,Carutapera,BR,85.89,overcast clouds,-1.195,-46.02,Lidera
49,Puerto Colombia,CO,86.09,light rain,10.9878,-74.9547,Hotel El Emigrante
50,Touros,BR,84.76,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
61,Salalah,OM,77.04,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
68,Black River,JM,85.57,clear sky,18.0264,-77.8487,Idlers' Rest Beach Hotel
76,Martapura,ID,75.22,overcast clouds,-3.4167,114.85,Montana Hotel Syariah
83,Puerto Madero,MX,81.05,scattered clouds,14.7208,-92.4215,DEPARTAMENTOS LA ESTANCIA
88,Araucária,BR,79.32,overcast clouds,-25.5931,-49.4103,Hotel San Gabriel
89,Dubai,AE,84.13,clear sky,25.2582,55.3047,"Radisson Blu Hotel, Dubai Deira Creek"
92,Jalingo,NG,84.83,few clouds,8.8833,11.3667,Debright Motel
111,Athani,IN,78.53,broken clouds,16.7333,75.0667,Basawasri Lodge
112,Araçuaí,BR,89.13,broken clouds,-16.8497,-42.0703,Village das Minas Hotel
114,Mīnāb,IR,77.32,clear sky,27.1467,57.0801,Bam campground
118,Tambura,SS,76.59,broken clouds,5.6,27.4667,Rikito Lodge
124,Coahuayana Viejo,MX,85.37,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
132,Muli,MV,81.28,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
133,San Patricio,US,77.9,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
136,Rāpar,IN,78.35,clear sky,23.5667,70.6333,Dharamshi Bapa’s Home
146,Tarata,BO,78.22,clear sky,-17.6167,-66.0167,Hacienda castillo
147,Santa Cruz de la Sierra,BO,77.05,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
156,Turbaná,CO,83.21,light rain,10.2717,-75.4422,Cartagena Hills
162,Pitimbu,BR,86.59,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
167,Tutóia,BR,84.78,broken clouds,-2.7619,-42.2744,Pousada Guará's
169,Santa Cecília,BR,76.71,broken clouds,-26.9608,-50.4269,Hotel Italiano
172,Maningrida,AU,82.6,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
174,Umluj,SA,79.41,clear sky,25.0213,37.2685,Moon light Furnished Units
190,Jagüey Grande,CU,88.43,light rain,22.5269,-81.1286,Barberia hendrix
192,Ixtapa,MX,79.23,overcast clouds,20.7,-105.2,hotel la terminal
193,Kirakira,SB,79.02,broken clouds,-10.4544,161.9205,SanBiz Lodge
194,Catherinas Lust,GY,84.99,broken clouds,6.4,-57.6,TE'AMO Entertainment Park
196,Puerto Barrios,GT,82.54,light rain,15.7167,-88.6,Hotel El Castillo
201,Governador Valadares,BR,89.04,broken clouds,-18.8511,-41.9494,Hotel Panorama
204,Willemstad,CW,85.91,scattered clouds,12.1084,-68.9335,Avila Beach Hotel
205,Nguru,NG,81.84,broken clouds,12.8791,10.4526,Government Lodge
210,Kokopo,PG,77.32,overcast clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
213,Cayenne,GF,87.84,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
214,Ponta do Sol,PT,75.0,overcast clouds,32.6667,-17.1,Hotel do Campo
215,Namatanai,PG,78.49,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
221,Monrovia,LR,79.97,light rain,6.3005,-10.7969,Sunset Inn
228,Coruripe,BR,83.21,scattered clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
234,Calabar,NG,80.44,overcast clouds,4.9517,8.322,NAKS Hotels (Formerly NAF Club)
237,Bouillante,GP,85.37,scattered clouds,16.1304,-61.7692,Les Petites Fleurs de Poirier
242,Puerto Suárez,BO,89.51,broken clouds,-18.95,-57.8,Hotel casa real
248,Haapiti,PF,76.73,overcast clouds,-17.5667,-149.8667,Linareva Moorea Beach Resort
252,Kieta,PG,78.01,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
259,Caravelas,BR,85.12,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
262,Neuquén,AR,75.33,overcast clouds,-38.9516,-68.0591,Hotel del Comahue
263,Guaíra,BR,80.44,broken clouds,-20.3183,-48.3106,Hotel do Lago
267,Kpandu,GH,84.58,broken clouds,6.9954,0.2931,Emo House
268,Makkah al Mukarramah,SA,81.05,few clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
269,São Filipe,CV,76.98,broken clouds,14.8961,-24.4956,Hotel Xaguate
270,Sinnamary,GF,83.82,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
272,Bondoukou,CI,86.02,broken clouds,8.0333,-2.8,Prestige Hotel
280,Mattru,SL,83.07,light rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
286,Kupang,ID,80.19,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
289,Iúna,BR,80.29,overcast clouds,-20.3458,-41.5358,Hotel São Judas Tadeu
293,General Roca,AR,76.62,scattered clouds,-39.0333,-67.5833,Hotel El Recreo
294,Kralendijk,BQ,82.47,broken clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
295,Sulangan,PH,82.74,broken clouds,11.1373,123.7228,Maia's Beach Resort
297,Reconquista,AR,83.73,clear sky,-29.15,-59.65,Grand Hotel
303,Isangel,VU,75.27,clear sky,-19.55,169.2667,Tanna Lodge
307,Mana,GF,83.82,scattered clouds,5.6592,-53.7767,LE SAMANA
310,Kavieng,PG,82.24,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
319,Bintulu,MY,76.59,light rain,3.1667,113.0333,900 Boutique INN
320,Santa Rosa,PH,82.38,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
326,Bengkulu,ID,75.11,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
332,Fare,PF,78.78,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
334,Cidreira,BR,80.33,broken clouds,-30.1811,-50.2056,Hotel Castelo
338,Sur,OM,79.48,clear sky,22.5667,59.5289,Sur Plaza Hotel
339,Mayumba,GA,77.79,broken clouds,-3.432,10.6554,LIKWALE LODGE
343,Siocon,PH,79.27,overcast clouds,7.7061,122.1353,ABS Hotel
344,Aden,YE,79.79,few clouds,12.7794,45.0367,Sama Emirate Hotel
358,Acaraú,BR,86.2,broken clouds,-2.8856,-40.12,castelo pizzaria
363,Cairns,AU,78.06,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
365,Vila do Maio,CV,81.39,broken clouds,15.1333,-23.2167,Hotel Marilu
371,Lubao,PH,82.11,scattered clouds,14.9167,120.55,Hacienda Gracia
374,Bumba,CD,77.97,broken clouds,2.1833,22.4667,Père Carlos
382,Kinablangan,PH,78.57,broken clouds,7.6947,126.5503,Morales Eatery and Lodging House
385,Presidencia Roque Sáenz Peña,AR,88.23,clear sky,-26.7852,-60.4388,Hotel Gualok
387,Port Keats,AU,79.2,overcast clouds,-14.25,129.55,Kardu Durrikardu Numida Hostel
389,Doha,QA,80.58,clear sky,25.2867,51.5333,Mövenpick Doha
390,Nganjuk,ID,76.3,overcast clouds,-7.6051,111.9035,Griya Alifia Family
391,Juba,SS,80.53,overcast clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
395,Finschhafen,PG,79.47,overcast clouds,-6.6024,147.8681,Oasis Gagidu Ltd
398,Nīlēshwar,IN,79.36,broken clouds,12.25,75.1,Neeleshwar Hermitage
401,Buala,SB,78.75,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
403,Cabedelo,BR,84.87,scattered clouds,-6.9811,-34.8339,Pousada Camboinha
404,Atambua,ID,76.68,broken clouds,-9.1061,124.8925,Ros Muskanan
405,Uribia,CO,86.59,overcast clouds,11.7139,-72.266,Hotel Uribia
408,Jombang,ID,76.24,overcast clouds,-7.546,112.2331,Hotel Netral Jombang
414,Naifaru,MV,80.53,overcast clouds,5.4444,73.3657,Aqua Inn
418,Boundiali,CI,83.23,overcast clouds,9.5217,-6.4869,Hotel Paysan Boundiali
425,Kudahuvadhoo,MV,81.79,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
426,Santa Cruz Cabrália,BR,82.63,few clouds,-16.2781,-39.0247,Puerto Princesa Inn
432,Ugoofaaru,MV,81.61,overcast clouds,5.6667,73.0,Ungoofaaru Inn
434,‘Āhuimanu,US,75.85,few clouds,21.4447,-157.8378,Paradise Bay Resort
443,Soubre,CI,81.63,light rain,5.7856,-6.6083,Lynd Hotels Soubre
444,Nizwá,OM,78.8,clear sky,22.9333,57.5333,Orient Apartments
445,Wanning,CN,76.05,scattered clouds,18.8003,110.3967,Paradise Hotel
448,Banda Aceh,ID,78.42,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
449,San Cristobal,VE,78.98,overcast clouds,7.7669,-72.225,Pirineos
452,Mindelo,CV,80.15,broken clouds,16.8901,-24.9804,Hotel Gaudi
453,Māngrol,IN,78.21,clear sky,21.1167,70.1167,Hotel The Royal Honours
455,Los Llanos de Aridane,ES,75.13,few clouds,28.6585,-17.9182,Valle Aridane
456,Tual,ID,84.0,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
457,Lorengau,PG,80.89,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
463,The Valley,AI,82.81,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
468,La Mata,PA,81.21,moderate rain,8.0833,-80.8833,Black Lion Inn
469,Mahibadhoo,MV,81.79,overcast clouds,3.7833,72.9667,Omadhoo Inn
485,Vega de Alatorre,MX,79.03,broken clouds,20.0333,-96.6333,Hotel D Luxe
497,Várzea da Palma,BR,88.27,moderate rain,-17.5981,-44.7308,Casa Fernandes
500,Honiara,SB,79.02,overcast clouds,-9.4333,159.95,Heritage Park Hotel
505,Daru,PG,79.25,overcast clouds,-9.0763,143.2092,Daru Lodge
507,Dingle,PH,76.01,light rain,10.9995,122.6711,SEGAYA PROPERTY
511,Kununurra,AU,80.58,light rain,-15.7667,128.7333,Hotel Kununurra
518,Dicabisagan,PH,78.1,broken clouds,17.0818,122.4157,Nancy Montanes Bernardo
520,Tiarei,PF,77.02,overcast clouds,-17.5333,-149.3333,Le Rocher de Tahiti
526,Progreso,MX,86.11,clear sky,21.2833,-89.6667,Playa Linda Hotel
530,Pilar,BR,84.13,scattered clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
532,Opuwo,,82.44,clear sky,-18.0607,13.84,ABBA Guesthouse
542,Bathsheba,BB,86.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
550,Naviraí,BR,75.76,overcast clouds,-23.065,-54.1906,Dubai Hotel - Também sua casa!
551,Perbaungan,ID,75.31,light rain,3.5679,98.956,Hotel Bidadari
555,Kahului,US,75.85,overcast clouds,20.8947,-156.47,Maui Seaside Hotel
567,Ranot,TH,77.86,moderate rain,7.7777,100.3213,Pakbanglake resort ปากบางเลค รีสอร์ท
569,Pozo Colorado,PY,88.68,clear sky,-23.4923,-58.7972,Hospedaje La Norteña
576,Tsabong,BW,83.34,clear sky,-26.0217,22.401,Springbok Motel
578,Padang,ID,75.06,overcast clouds,-0.9492,100.3543,Mercure Padang
580,Angoche,MZ,79.03,few clouds,-16.2325,39.9086,Guest House HESADA
581,Blackwater,AU,75.2,scattered clouds,-23.5833,148.8833,Blackwater Motor Inn
592,Gombong,ID,76.39,overcast clouds,-7.6072,109.5142,Grafika Hotel Dan Restoran
593,Banjar,ID,78.89,overcast clouds,-8.19,114.9675,The Hamsa Resort
597,Felipe Carrillo Puerto,MX,87.66,clear sky,19.5833,-88.05,Hotel La Ceiba
598,Otavi,,86.43,clear sky,-19.65,17.3333,Haloli piggery
599,Eyl,SO,79.45,clear sky,7.9803,49.8164,EYL AQUE SYSTEM
607,Santa Maria,BR,76.53,scattered clouds,-29.6842,-53.8069,Hotel Morotin
608,Ciénaga,CO,81.68,light rain,11.007,-74.2476,The Journey Hostel
612,Esim,GH,81.07,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
616,Okahandja,,86.67,clear sky,-21.9833,16.9167,Guesthouse Villa Nina
620,Arlit,NE,79.72,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
621,Manggar,ID,79.77,overcast clouds,-2.8833,108.2667,Guest Hotel
622,Acarí,PE,78.67,scattered clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
623,Puerto del Rosario,ES,76.75,clear sky,28.5004,-13.8627,Hotel JM Puerto del Rosario
625,Acapulco de Juárez,MX,84.02,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
626,Marsh Harbour,BS,79.09,clear sky,26.5412,-77.0636,Abaco Beach Resort
627,Puerto Vallarta,MX,80.91,broken clouds,20.6204,-105.2307,Sunset Plaza Beach Resort & Spa
632,Badou,TG,83.03,overcast clouds,7.5833,0.6,Hôtel Abuta
633,Faanui,PF,78.85,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
634,Biak,ID,76.93,broken clouds,-0.9131,122.8766,Penginapan Kim
635,Jodhpur,IN,75.76,clear sky,26.2867,73.03,"Umaid Bhawan Palace, Jodhpur"
638,Petites Anses,GP,85.51,few clouds,15.8501,-61.6442,Hôtel Bois Joli
641,La Asuncion,VE,83.53,scattered clouds,11.0333,-63.8628,Colinas de Matasiete
647,Cachoeira do Sul,BR,76.82,broken clouds,-30.0392,-52.8939,Rede Bonnel Tropical Hotel Confort
648,Tautira,PF,77.02,light rain,-17.7333,-149.15,Pension Oaoa
653,Malakal,SS,82.49,clear sky,9.5334,31.6605,Nile Palace Hotel
654,Colombia,CU,88.45,few clouds,20.9881,-77.4297,Delicias Puerto padre
673,Libreville,GA,80.04,light rain,0.3925,9.4537,Hotel Kreg Le Patio
677,Bandarbeyla,SO,79.63,scattered clouds,9.4942,50.8122,JABIR HOTEL
678,Manali,IN,77.09,overcast clouds,13.1667,80.2667,Sarathy Lodge
681,Upington,ZA,83.52,clear sky,-28.4478,21.2561,River Place Manor
687,Tahoua,NE,83.05,clear sky,14.8888,5.2692,Bungalows Guesthouse
688,Abra de Ilog,PH,79.72,overcast clouds,13.4437,120.7291,Jewel's Place
700,Bubaque,GW,83.43,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
704,San Carlos,VE,87.58,broken clouds,9.6612,-68.5827,Hotel Paternopoli
705,Paragominas,BR,85.03,broken clouds,-2.9667,-47.4833,INOVA
706,Jardim,BR,80.02,overcast clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
