City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hithadhoo,MV,-0.6,73.0833,82.04,75,100,15.64,overcast clouds
1,Ilulissat,GL,69.2167,-51.1,9.63,93,83,5.32,broken clouds
2,Thompson,CA,55.7435,-97.8558,5.16,92,20,2.3,few clouds
3,Bowen,AU,-20.0167,148.2333,76.48,76,24,5.82,few clouds
4,Cherskiy,RU,68.75,161.3,-31.02,100,88,4.5,overcast clouds
5,Puerto Ayora,EC,-0.7393,-90.3518,75.16,85,74,8.01,broken clouds
6,Carnarvon,AU,-24.8667,113.6333,70.99,71,0,18.12,clear sky
7,São Félix do Xingu,BR,-6.6447,-51.995,94.8,38,79,3.51,broken clouds
8,Castro,BR,-24.7911,-50.0119,75.85,69,94,11.14,overcast clouds
9,Bluff,NZ,-46.6,168.3333,53.1,85,74,11.07,broken clouds
10,Ahipara,NZ,-35.1667,173.1667,56.17,93,2,5.32,clear sky
11,Barrow,US,71.2906,-156.7887,12.61,93,94,10.31,overcast clouds
12,Tuktoyaktuk,CA,69.4541,-133.0374,19.4,93,100,8.05,light snow
13,Tilichiki,RU,60.4667,166.1,6.39,98,69,8.7,broken clouds
14,Ludvika,SE,60.1496,15.1878,42.78,92,88,2.21,overcast clouds
15,Puerto Escondido,MX,15.85,-97.0667,84.87,65,9,4.56,clear sky
16,Ushuaia,AR,-54.8,-68.3,60.42,67,75,10.36,broken clouds
17,Maragogi,BR,-9.0122,-35.2225,82.47,68,26,10.74,scattered clouds
18,Cedar City,US,37.6775,-113.0619,30.4,80,0,5.75,clear sky
19,Te Anau,NZ,-45.4167,167.7167,50.85,85,100,2.57,overcast clouds
20,Tiznit Province,MA,29.5833,-9.5,76.69,17,59,2.95,broken clouds
21,Butaritari,KI,3.0707,172.7902,79.54,81,73,10.85,broken clouds
22,Lima,PE,-12.0432,-77.0282,64.65,72,100,6.91,overcast clouds
23,George Town,MY,5.4112,100.3354,76.95,99,40,2.3,scattered clouds
24,Hobart,AU,-42.8794,147.3294,46.26,80,100,11.5,overcast clouds
25,Dhangadhi,NP,28.7079,80.5961,63.36,66,1,3.6,clear sky
26,Busselton,AU,-33.65,115.3333,53.73,77,0,12.68,clear sky
27,Havøysund,NO,70.9963,24.6622,39.43,78,89,21.05,overcast clouds
28,Cam Ranh,VN,11.9214,109.1591,80.56,83,75,10.36,broken clouds
29,Albany,US,42.6001,-73.9662,38.95,44,21,3.0,few clouds
30,Sabang,ID,5.8933,95.3214,80.78,76,100,11.9,overcast clouds
31,New Norfolk,AU,-42.7826,147.0587,45.9,81,84,1.01,broken clouds
32,Rikitea,PF,-23.1203,-134.9692,74.41,84,84,14.29,broken clouds
33,Pec,XK,42.6591,20.2883,51.96,86,48,1.72,scattered clouds
34,Naze,JP,28.3667,129.4833,65.32,78,96,13.69,overcast clouds
35,Vaini,TO,-21.2,-175.2,73.56,94,75,2.3,drizzle
36,Hilo,US,19.7297,-155.09,70.25,79,75,4.61,broken clouds
37,Bredasdorp,ZA,-34.5322,20.0403,66.27,58,94,5.41,overcast clouds
38,Nybro,SE,56.7446,15.9071,49.01,98,82,3.2,broken clouds
39,Provideniya,RU,64.3833,-173.3,20.3,84,97,5.3,overcast clouds
40,Cabo San Lucas,MX,22.8909,-109.9124,79.61,63,15,3.13,few clouds
41,Bambanglipuro,ID,-7.95,110.2833,74.71,93,100,4.16,overcast clouds
42,Katsuura,JP,35.1333,140.3,60.01,75,100,9.31,overcast clouds
43,Santa Fe,AR,-31.6333,-60.7,83.01,29,5,15.01,light rain
44,Alofi,NU,-19.0595,-169.9187,76.89,83,75,6.91,broken clouds
45,Alyangula,AU,-13.8483,136.4192,83.08,76,77,8.08,broken clouds
46,Hong Kong,HK,22.2855,114.1577,77.38,81,49,8.01,scattered clouds
47,Atuona,PF,-9.8,-139.0333,77.32,79,9,19.48,light rain
48,Carutapera,BR,-1.195,-46.02,85.89,63,93,10.09,overcast clouds
49,Puerto Colombia,CO,10.9878,-74.9547,86.09,73,65,3.47,light rain
50,Touros,BR,-5.1989,-35.4608,84.76,62,41,13.62,scattered clouds
51,Clyde River,CA,70.4692,-68.5914,3.43,85,100,17.27,light snow
52,Mildura,AU,-34.2,142.15,50.07,87,4,13.0,clear sky
53,Zhigansk,RU,66.7697,123.3711,-30.93,100,95,2.37,overcast clouds
54,Mnogovershinnyy,RU,53.9353,139.9242,6.53,90,19,2.86,few clouds
55,Novikovo,RU,51.1537,37.8879,32.86,63,7,9.93,clear sky
56,Kapaa,US,22.0752,-159.319,70.11,88,19,10.69,few clouds
57,Arraial do Cabo,BR,-22.9661,-42.0278,91.36,66,0,18.41,clear sky
58,Lagoa,PT,39.05,-27.9833,65.28,86,100,19.89,overcast clouds
59,Port Macquarie,AU,-31.4333,152.9167,62.89,74,0,6.44,clear sky
60,Husavik,IS,66.0449,-17.3389,41.13,89,100,9.31,light rain
61,Salalah,OM,17.0151,54.0924,77.04,58,6,2.3,clear sky
62,Port Alfred,ZA,-33.5906,26.891,67.17,77,44,10.0,scattered clouds
63,Al Bardīyah,LY,31.7561,25.0865,65.75,61,5,8.84,clear sky
64,Abu Samrah,SY,35.3029,37.1841,66.7,45,9,5.57,clear sky
65,Ribeira Grande,PT,38.5167,-28.7,70.2,83,75,19.57,broken clouds
66,Guerrero Negro,MX,27.9769,-114.0611,65.03,47,33,1.95,scattered clouds
67,Alpine,US,32.835,-116.7664,60.67,45,4,1.3,clear sky
68,Black River,JM,18.0264,-77.8487,85.57,61,0,6.11,clear sky
69,Pisco,PE,-13.7,-76.2167,68.05,73,100,5.75,overcast clouds
70,Homer,US,59.6425,-151.5483,40.8,68,59,8.01,broken clouds
71,Hamilton,US,39.1834,-84.5333,42.94,60,30,4.0,scattered clouds
72,Punta Arenas,CL,-53.15,-70.9167,62.62,51,75,11.5,broken clouds
73,Ouadda,CF,8.0777,22.4007,75.94,35,78,5.03,broken clouds
74,Qasigiannguit,GL,68.8193,-51.1922,13.06,88,85,6.85,overcast clouds
75,Cape Town,ZA,-33.9258,18.4232,73.81,38,0,12.66,clear sky
76,Martapura,ID,-3.4167,114.85,75.22,97,100,1.36,overcast clouds
77,Saskylakh,RU,71.9167,114.0833,-10.07,91,100,11.52,overcast clouds
78,Nanchang,CN,28.6833,115.8833,52.81,86,100,4.27,overcast clouds
79,Saldanha,ZA,-33.0117,17.9442,73.45,77,100,14.03,overcast clouds
80,Mount Isa,AU,-20.7333,139.5,74.97,31,59,12.66,light rain
81,East London,ZA,-33.0153,27.9116,68.94,73,0,13.8,clear sky
82,Ileza,RU,61.0533,43.9002,25.27,94,80,5.97,light snow
83,Puerto Madero,MX,14.7208,-92.4215,81.05,72,42,2.51,scattered clouds
84,Lüderitz,NA,-26.6481,15.1594,64.44,79,0,8.75,clear sky
85,Zhangjiakou,CN,40.81,114.8794,34.84,55,41,5.5,scattered clouds
86,Yellowknife,CA,62.456,-114.3525,19.92,100,100,3.44,light snow
87,Saint Paul Harbor,US,57.79,-152.4072,33.22,80,89,4.36,overcast clouds
88,Araucária,BR,-25.5931,-49.4103,79.32,65,92,9.82,overcast clouds
89,Dubai,AE,25.2582,55.3047,84.13,61,0,10.36,clear sky
90,Chokurdakh,RU,70.6333,147.9167,-16.26,97,100,9.55,overcast clouds
91,Province of Mantua,IT,45.1667,10.7833,52.41,88,24,5.75,few clouds
92,Jalingo,NG,8.8833,11.3667,84.83,26,24,4.18,few clouds
93,Hermanus,ZA,-34.4187,19.2345,69.8,64,100,3.78,overcast clouds
94,Tabas,IR,33.5959,56.9244,57.85,26,0,2.1,clear sky
95,Lata,PT,40.1629,-8.3327,62.08,89,100,3.91,overcast clouds
96,Telfs,AT,47.3,11.0667,53.08,77,90,4.23,overcast clouds
97,Vostok,RU,46.4856,135.8833,14.94,93,100,2.26,overcast clouds
98,Arrondissement du Havre,FR,49.5833,0.3333,55.35,88,100,19.57,light rain
99,Hidalgo,MX,20.5,-99.0,71.82,43,58,4.56,broken clouds
100,Kruisfontein,ZA,-34.0033,24.7314,70.88,73,79,15.28,broken clouds
101,Bambous Virieux,MU,-20.3428,57.7575,73.65,64,75,11.5,broken clouds
102,Avarua,CK,-21.2078,-159.775,71.65,68,84,8.05,broken clouds
103,Babushkin,RU,51.7122,105.8647,30.9,69,91,5.88,overcast clouds
104,Sainte-Anne-des-Monts,CA,49.124,-66.4924,31.87,93,100,16.11,light snow
105,Bauchi,NG,10.5,10.0,78.71,23,76,6.08,broken clouds
106,Thinadhoo,MV,0.5333,72.9333,82.04,78,96,16.08,overcast clouds
107,Russell,US,32.3502,-85.1999,54.97,41,24,8.25,few clouds
108,Odesskoye,RU,54.2111,72.9651,35.08,99,100,17.98,snow
109,Qaanaaq,GL,77.484,-69.3632,-7.35,70,12,7.05,few clouds
110,Galle,LK,6.0367,80.217,74.55,93,100,2.42,overcast clouds
111,Athani,IN,16.7333,75.0667,78.53,43,82,10.63,broken clouds
112,Araçuaí,BR,-16.8497,-42.0703,89.13,43,72,7.63,broken clouds
113,Beïnamar,TD,8.6698,15.3813,82.49,30,82,3.56,broken clouds
114,Mīnāb,IR,27.1467,57.0801,77.32,65,0,0.0,clear sky
115,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,86.97,49,84,6.55,broken clouds
116,Mataura,NZ,-46.1927,168.8643,49.62,96,90,3.51,overcast clouds
117,Tasiilaq,GL,65.6145,-37.6368,29.75,96,84,3.89,light snow
118,Tambura,SS,5.6,27.4667,76.59,49,56,1.83,broken clouds
119,Coffs Harbour,AU,-30.3,153.1333,61.12,77,0,4.61,clear sky
120,Lebu,CL,-37.6167,-73.65,60.4,82,100,8.86,overcast clouds
121,Karatau,KZ,43.1667,70.4667,51.78,37,91,35.39,light rain
122,Faya,SA,18.3851,42.4509,62.71,60,79,1.39,broken clouds
123,Liverpool,GB,53.4106,-2.9779,55.35,92,75,8.05,broken clouds
124,Coahuayana Viejo,MX,18.7333,-103.6833,85.37,61,85,3.06,overcast clouds
125,Nikkō,JP,36.75,139.6167,45.95,79,100,1.03,overcast clouds
126,Slave Lake,CA,55.2834,-114.769,26.58,86,0,5.75,clear sky
127,Dikson,RU,73.5069,80.5464,3.79,92,100,17.72,overcast clouds
128,Souillac,MU,-20.5167,57.5167,73.78,64,75,11.5,broken clouds
129,Severo-Kuril'sk,RU,50.6789,156.125,33.55,97,100,22.48,snow
130,Huntington,US,38.4193,-82.4452,43.12,65,17,8.01,few clouds
131,Coyhaique,CL,-45.5752,-72.0662,59.61,63,100,9.22,light intensity shower rain
132,Muli,MV,2.9167,73.5667,81.28,79,99,14.0,overcast clouds
133,San Patricio,US,28.017,-97.5169,77.9,89,100,12.1,overcast clouds
134,Constitución,CL,-35.3333,-72.4167,66.67,59,11,14.74,few clouds
135,Mil'kovo,RU,54.7167,158.6167,14.2,94,100,7.27,light snow
136,Rāpar,IN,23.5667,70.6333,78.35,35,0,4.47,clear sky
137,Saint-Philippe,RE,-21.3585,55.7679,71.19,75,98,14.81,overcast clouds
138,Laguna,US,38.421,-121.4238,55.09,73,0,0.0,clear sky
139,Jamestown,US,42.097,-79.2353,35.71,64,95,5.99,overcast clouds
140,Ardakān,IR,32.31,54.0175,61.27,37,90,5.01,overcast clouds
141,Broome,US,42.2506,-75.833,36.54,79,100,10.36,overcast clouds
142,Nazas,MX,25.2333,-104.1333,71.37,17,74,6.15,broken clouds
143,Chui,UY,-33.6971,-53.4616,69.64,71,98,17.65,overcast clouds
144,Zhangaözen,KZ,43.3,52.8,41.11,62,59,18.23,broken clouds
145,Ostrovnoy,RU,68.0531,39.5131,31.78,87,100,3.98,overcast clouds
146,Tarata,BO,-17.6167,-66.0167,78.22,18,4,1.54,clear sky
147,Santa Cruz de la Sierra,BO,-17.8,-63.1667,77.05,65,75,13.8,broken clouds
148,Jalu,LY,29.0331,21.5482,66.0,31,0,8.28,clear sky
149,Shkurinskaya,RU,46.5858,39.3599,41.32,69,6,6.64,clear sky
150,Mozarlândia,BR,-14.7447,-50.5706,90.36,41,88,1.45,overcast clouds
151,Kinsale,IE,51.7075,-8.5306,51.17,87,75,28.77,light rain
152,Beloha,MG,-25.1667,45.05,76.53,74,95,3.18,overcast clouds
153,Avera,US,33.194,-82.5271,51.31,42,61,11.79,broken clouds
154,Srednekolymsk,RU,67.45,153.6833,-18.67,95,100,6.06,overcast clouds
155,Roald,NO,62.5833,6.1333,55.17,81,0,17.27,clear sky
156,Turbaná,CO,10.2717,-75.4422,83.21,73,42,4.03,light rain
157,Copiapó,CL,-27.3667,-70.3333,73.09,14,0,14.52,clear sky
158,Torbay,CA,47.6666,-52.7314,41.76,98,100,25.32,light intensity drizzle
159,Nālūt,LY,30.3333,10.85,65.61,27,0,6.8,clear sky
160,Varna,BG,43.2167,27.9167,48.34,92,100,5.75,overcast clouds
161,Rome,US,43.2128,-75.4557,38.37,55,65,7.0,broken clouds
162,Pitimbu,BR,-7.4706,-34.8086,86.59,68,33,11.45,scattered clouds
163,Ancud,CL,-41.8697,-73.8203,54.86,95,100,17.38,light rain
164,Teya,RU,60.3778,92.6267,-4.22,100,100,3.18,overcast clouds
165,Esperance,AU,-33.8667,121.9,55.15,82,48,7.36,scattered clouds
166,Bafra,TR,41.5678,35.9069,58.71,78,51,2.93,broken clouds
167,Tutóia,BR,-2.7619,-42.2744,84.78,66,75,15.37,broken clouds
168,Miles City,US,46.4083,-105.8406,27.57,93,100,10.36,mist
169,Santa Cecília,BR,-26.9608,-50.4269,76.71,43,82,7.11,broken clouds
170,Mar del Plata,AR,-38.0023,-57.5575,62.1,95,100,14.97,drizzle
171,Klaksvík,FO,62.2266,-6.589,50.92,94,100,32.1,overcast clouds
172,Maningrida,AU,-12.0667,134.2667,82.6,74,100,3.74,overcast clouds
173,Sitka,US,57.0531,-135.33,46.29,81,100,11.5,moderate rain
174,Umluj,SA,25.0213,37.2685,79.41,65,2,10.13,clear sky
175,Khatanga,RU,71.9667,102.5,-21.28,98,100,11.03,overcast clouds
176,Baykit,RU,61.67,96.37,-7.26,98,99,3.71,overcast clouds
177,Kumul,CN,42.8,93.45,36.37,43,9,5.32,clear sky
178,Noyabrsk,RU,63.1994,75.4507,-6.32,95,97,16.89,overcast clouds
179,Pascagoula,US,30.3658,-88.5561,60.42,67,53,7.67,broken clouds
180,Hay River,CA,60.8156,-115.7999,12.18,85,75,5.75,broken clouds
181,Saint George,US,37.1041,-113.5841,44.44,50,2,1.99,clear sky
182,Montabaur,DE,50.4333,7.8333,47.71,90,61,4.81,broken clouds
183,Port Hawkesbury,CA,45.6169,-61.3485,48.18,72,100,31.07,overcast clouds
184,Sistranda,NO,63.7256,8.834,42.76,82,92,11.3,overcast clouds
185,Boa Vista,BR,2.8197,-60.6733,92.23,48,31,7.85,scattered clouds
186,Norman Wells,CA,65.282,-126.8329,18.34,92,97,2.53,overcast clouds
187,Baruun-Urt,MN,46.6806,113.2792,19.29,50,13,5.99,few clouds
188,Khani,GE,41.9563,42.9566,44.17,97,96,2.01,overcast clouds
189,Hambantota,LK,6.1241,81.1185,74.48,93,100,5.28,overcast clouds
190,Jagüey Grande,CU,22.5269,-81.1286,88.43,49,5,7.81,light rain
191,Tura,IN,25.5198,90.2201,62.47,90,0,3.22,clear sky
192,Ixtapa,MX,20.7,-105.2,79.23,65,95,1.99,overcast clouds
193,Kirakira,SB,-10.4544,161.9205,79.02,80,62,1.72,broken clouds
194,Catherinas Lust,GY,6.4,-57.6,84.99,69,68,10.45,broken clouds
195,Rodeo,US,38.033,-122.2669,53.38,78,0,4.0,clear sky
196,Puerto Barrios,GT,15.7167,-88.6,82.54,71,68,4.07,light rain
